iso_id,total_population,weighted_income
0f0597cb-5e25-4e00-b3f4-e5674fd8e87e_8min,248796.0,142474.87481711924
0f0c8b0b-f04c-4c27-bed0-f7717983c36c_8min,129053.0,154407.11662650228
0f393421-3872-463e-a4f0-572696fe31c6_8min,100821.0,147986.52205393717
0f839148-1ac2-4aaa-8875-9dc147022605_8min,169411.0,78202.09862405629
0fa24b4b-99d1-4836-96c5-65ffefd6feac_8min,94991.0,69856.82303586656
0fba2c3d-9d6f-4028-a05f-6b65a933dd85_8min,193866.0,101783.42448392189
0ffd56b6-30f2-44f2-a19a-69405c4a12d3_8min,85743.0,72846.83505359037
1021e151-bc81-4db1-a9e2-ec9e79236cc5_8min,81503.0,116186.28695876226
104af994-b88a-49d1-8e0f-8e30a444cbaa_8min,59892.0,90853.98953115608
104f5a96-ef73-44c7-9314-81b740f4ff5c_8min,247701.0,97051.14873173705
106c9c36-4147-4e80-92b0-23db88f0535d_8min,75279.0,100805.5041379402
10905774-79bc-464e-ad79-2aedbab47e3c_8min,139646.0,117525.26373830973
10b6bce6-5682-44ee-97c3-5082c9d65c5e_8min,99529.0,109471.84768258498
112bd9d2-a392-407f-b302-0da3cdc59c07_8min,74226.0,159569.14381753025
11470a94-56ec-4984-8ff5-d0a1707c7cb7_8min,54562.0,179653.37934826437
119123be-059f-4ba1-861a-c42447fd3f89_8min,110817.0,149728.54625192884
11cefd47-991c-4825-9857-8f26b862f32c_8min,177978.0,130018.40691546146
11d93f07-28b0-4079-beef-774b3758471b_8min,80070.0,101495.02788809792
11f41080-bd96-4862-880d-3c39623cd443_8min,146602.0,67030.61795882731
120fc597-b19f-49b0-b7c3-8e2427ac4055_8min,65397.0,153713.32579476121
12c01827-5d8d-4eef-bb84-37ac34de4dd1_8min,194086.0,112030.907309131
12c05a30-2645-459b-a7ae-6097fce30316_8min,58082.0,65868.39365035639
12df4080-5b38-4667-a559-30a6ed1834c9_8min,86308.0,114584.10777679937
13257d89-0f38-4af1-b318-7655e310dbde_8min,110459.0,130798.18446663467
133fce2b-c3af-4485-8587-88332d44bbb1_8min,155033.0,65271.164087645855
13760cfb-9194-4cce-a2dd-89ab14b3fb32_8min,146701.0,53632.92061403808
13d3bb5e-c653-4f6f-aa17-197bb3fe1bb0_8min,165164.0,132035.00153181082
142361b9-3b50-412a-8339-e86b590465f6_8min,53591.0,120180.55124927693
144486d9-c9f4-4702-86c7-01ec932e2a4e_8min,78907.0,84852.10460415426
146d24d5-8849-46dd-ad96-86f4a912ed04_8min,114627.0,124790.16558053513
14d363a5-9210-4d4e-aa2b-59af388d5a84_8min,80324.0,90846.43106667994
14d4b8ad-a8e7-4ecf-b2a6-554433d47f12_8min,60566.0,145678.99882772513
14e1bb20-3567-4b37-be22-ed11d09c1f39_8min,155298.0,45055.04296900153
14f55a59-0c45-465d-80b1-6b82ce959ce2_8min,123315.0,72548.47556258363
14f5c03f-a2aa-432a-94c0-3e883dc6c603_8min,161625.0,69457.18702552204
151eea66-e432-444d-842d-562c11fb8e65_8min,90760.0,82709.5886403702
1586633d-98a6-43fc-bac7-b7675693d140_8min,40435.0,201832.00304191912
15b9e588-bddc-49c8-836d-249c986b1668_8min,170114.0,69772.71254570465
15ee6b67-bee1-497d-a4b2-ce8f4b33445a_8min,205709.0,68751.11757385432
1667e0a7-e8f6-4d64-b1ad-f3fd6c92028f_8min,82470.0,124404.01966775797
167beb1d-059b-4e0e-a4d3-7f26ea88b283_8min,118874.0,63448.431843801
16c13609-c4a6-4bb0-9069-c3bba7f21e56_8min,172741.0,75041.92401340736
173e0181-b891-452c-9cf6-feb3c60c8a4e_8min,174205.0,73565.49561723258
1742db2d-5b42-41de-b46a-de5cc51892ab_8min,102221.0,138366.3117461187
1755cbfd-e344-4bd1-b419-6bd662be651a_8min,132297.0,178573.08542143813
1760e9c2-cd38-4ccb-90ac-b4d4e244016b_8min,83811.0,117145.13958788227
1793ebdf-91f3-460e-86e9-381d3b054955_8min,272978.0,158848.41305892784
1794587d-b411-4583-adcc-27535368f32c_8min,81231.0,128113.41980278466
17bc2043-4a9f-4178-811e-87fd7d8f4733_8min,74250.0,137119.8026936027
17c49090-2e00-4169-a23f-706848ae0b46_8min,128630.0,96485.9859908264
17eccd1b-5d6a-4e1b-a668-9b8276572546_8min,97613.0,61698.701238564536
18316103-2c02-4319-bc42-07331998b192_8min,83294.0,104648.00202895766
185e8e2d-ab90-4bd6-9c2a-5ab9851e9e64_8min,149431.0,106812.5349893931
188f62bc-3bf3-4207-aa15-abd2773c02dd_8min,71671.0,80803.24202257537
18c598cf-32cf-4ade-86a7-e339c3bcf030_8min,127173.0,75300.83112767647
19046b87-ba9d-49b1-a54f-24faf0c8b32b_8min,238466.0,138052.8222849379
191d1238-eb4c-42e4-9cf4-15f82ae6a55b_8min,148235.0,118697.69474820387
191ef85a-0e83-4c90-b3cd-17f820235f59_8min,75553.0,130569.16714094741
19567e84-9f78-484e-aaf5-4b385c7018c7_8min,173498.0,86947.597782107
19eefedb-1008-4d19-b7fa-f0cf09d4ef94_8min,97522.0,80185.49934373783
1a2f2375-17ff-4c8c-a8f7-9d50d2b43501_8min,51217.0,72696.01079719624
1ab01e39-f70d-4059-a200-5972f9eb5176_8min,245828.0,159837.70318271313
